epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,1793.57,0.31218,0.20383,0.78139,0.88865,0.83768,0.86881,0.64178,0.95716,0.7225,0.99989,0.000727744,0.000727744,0.000727744
125,1809.19,0.30573,0.20169,0.77799,0.88243,0.82831,0.86778,0.65956,0.91955,0.71542,1.00849,0.000723767,0.000723767,0.000723767
126,1822.55,0.29133,0.19286,0.77663,0.87816,0.83154,0.85422,0.6349,0.92266,0.73137,0.98668,0.000719772,0.000719772,0.000719772
127,1835.46,0.30708,0.20395,0.78205,0.86804,0.82115,0.84776,0.62518,0.93931,0.77072,0.96398,0.000715761,0.000715761,0.000715761
128,1849.55,0.29842,0.20057,0.77929,0.88761,0.83423,0.87399,0.65943,0.93098,0.74243,0.97582,0.000711732,0.000711732,0.000711732
129,1864.75,0.30067,0.19682,0.78301,0.88815,0.83768,0.85848,0.64847,0.91838,0.72479,0.99785,0.000707687,0.000707687,0.000707687
130,1878.04,0.2875,0.1943,0.77713,0.88496,0.83746,0.86872,0.65512,0.92163,0.7255,1.01306,0.000703625,0.000703625,0.000703625
131,1891.83,0.29892,0.19992,0.77906,0.87825,0.832,0.87001,0.65486,0.92967,0.7225,1.01506,0.000699547,0.000699547,0.000699547
132,1906.77,0.29783,0.19557,0.78261,0.88167,0.83391,0.87409,0.66274,0.90378,0.74273,0.97224,0.000695454,0.000695454,0.000695454
133,1922.29,0.28958,0.19296,0.78271,0.88106,0.82112,0.868,0.66262,0.88714,0.7168,0.97704,0.000691345,0.000691345,0.000691345
134,1935.25,0.29971,0.198,0.78238,0.87807,0.84569,0.87256,0.65495,0.9008,0.72136,0.98787,0.000687222,0.000687222,0.000687222
135,1949.28,0.288,0.19447,0.77782,0.89006,0.81234,0.85986,0.63861,0.90657,0.73306,0.98288,0.000683083,0.000683083,0.000683083
136,1964.77,0.2901,0.1952,0.78087,0.88618,0.81503,0.83217,0.60949,0.92409,0.72068,0.9894,0.000678931,0.000678931,0.000678931
137,1979.25,0.2998,0.19969,0.78593,0.87567,0.8175,0.84886,0.62547,0.93858,0.72682,0.98389,0.000674764,0.000674764,0.000674764
138,1992.07,0.29689,0.19652,0.78418,0.88071,0.82729,0.85693,0.62622,0.89527,0.65892,0.99967,0.000670583,0.000670583,0.000670583
139,2006.79,0.2924,0.19635,0.78063,0.85419,0.80835,0.83981,0.64025,0.92396,0.71931,0.97586,0.00066639,0.00066639,0.00066639
140,2021.48,0.29458,0.19636,0.7821,0.86414,0.83261,0.85783,0.63557,0.91241,0.69362,0.9897,0.000662183,0.000662183,0.000662183
